,0,1,2
742,Massachusetts,Norfolk,98729.19703751065
498,Illinois,Cumberland,13146.769249912464
209,Colorado,Saguache,224837.51455665845
1459,Tennessee,Giles,8380.153197656946
264,Florida,Osceola,137813.82722953992
1806,Utah,Wayne,2768.454716566675
1758,Texas,Van Zandt,60299.634344723716
759,Michigan,Charlevoix,25803.144243698734
1887,Virginia,Page,6614.4026982641635
1482,Tennessee,Lewis,15975.469744634169
1346,Oklahoma,Kay,76352.85838839068
1764,Texas,Webb,57915.10939234332
1336,Oklahoma,Grady,21776.94013042433
1597,Texas,El Paso,8218.777727412767
1674,Texas,Llano,149649.23219883212
417,Georgia,Toombs,11566.049974999518
738,Massachusetts,Essex,75037.77642702615
381,Georgia,Monroe,90518.90867096809
715,Louisiana,Tangipahoa,13410.990866977862
201,Colorado,Park,9763.109851805733
1554,Texas,Caldwell,87882.93471645837
1361,Oklahoma,Noble,8894.742922936612
488,Illinois,Calhoun,400668.9469031313
1643,Texas,Irion,87310.03010987055
485,Illinois,Boone,262098.1164631998
1539,Texas,Bee,92510.82638689806
34,Alabama,Jackson,3316731.609537633
65,Arizona,Apache,59389.14562869341
1893,Virginia,Prince William,37535.07405982609
1358,Oklahoma,McIntosh,136282.40605813736
820,Michigan,Shiawassee,9861.098931654902
1615,Texas,Gray,11306.849982809115
462,Idaho,Gooding,208984.83702901474
1039,Nebraska,Dixon,4786.19221945625
1109,Nevada,Clark,69554.27088128989
1757,Texas,Val Verde,118141.17965754091
1204,North Carolina,Sampson,238493.21898327174
1849,Virginia,Fluvanna,28839.930527382294
1688,Texas,Menard,168408.0857336727
358,Georgia,Jasper,10766.205564956199
1526,Tennessee,Wilson,4403.846137241908
1926,New Hampshire,Strafford,7700.079418008337
605,Iowa,Des Moines,103110.57000891546
637,Iowa,Madison,5199.940279435378
569,Illinois,Washington,2741.7638908160775
704,Louisiana,Madison,16099.780746863053
515,Illinois,Iroquois,194493.7045387344
460,Idaho,Fremont,214200.62853745243
1545,Texas,Bowie,1135945.5791225396
821,Michigan,Tuscola,195603.7434348209
1515,Tennessee,Tipton,12782.248976432096
725,Louisiana,West Feliciana,6380.925811264568
756,Michigan,Branch,8491.36939243296
800,Michigan,Midland,76030.50214706198
95,Arkansas,Craighead,12262.82788896156
1907,Virginia,Suffolk,605352.0739441637
1894,Virginia,Pulaski,14201.762886506476
1198,North Carolina,Randolph,18544.18670510115
1815,Vermont,Rutland,15995.283697098606
499,Illinois,Douglas,4081.3694434507643
1792,Utah,Millard,170437.2622408887
1725,Texas,Rusk,42172.84714777555
1923,New Hampshire,Hillsborough,26711.07622460155
1076,Nebraska,Nance,20400.264930932866
1006,Missouri,Texas,30500.992159875113
1761,Texas,Waller,28466.716105351443
874,Mississippi,Newton,38970.235577795145
93,Arkansas,Columbia,346786.3985145033
1529,Texas,Angelina,2315233.950911283
500,Illinois,Edgar,8853.618432398966
838,Mississippi,Clay,83855.32906668703
1540,Texas,Bell,39897.78521907541
1812,Vermont,Franklin,4790.94499883975
1542,Texas,Blanco,43061.08260132551
1430,South Carolina,Union,70817.13618652357
46,Alabama,Marshall,59015.17075803827
1755,Texas,Upton,36195.042731347356
1801,Utah,Tooele,26938.30843002942
1384,Oklahoma,Washita,9947.905251657216
1534,Texas,Austin,452033.99147048045
960,Missouri,Lewis,77785.85653116394
1635,Texas,Hockley,14598.811948495904
420,Georgia,Troup,34263.06950879449
1700,Texas,Newton,25647.55076263352
487,Illinois,Bureau,510681.6312722309
1192,North Carolina,Pasquotank,7029.405970751554
619,Iowa,Harrison,248174.53331636774
933,Missouri,Crawford,5222.6229730339355
1862,Virginia,Henry,158845.09288625454
29,Alabama,Geneva,20597.430337784328
1756,Texas,Uvalde,7017.000869272826
1122,Nevada,Washoe,72142.75940005491
616,Iowa,Hamilton,128497.27903555319
1277,Ohio,Miami,4266.843290290413
1878,Virginia,Montgomery,93925.92998411485
1028,Nebraska,Chase,77436.55886831749
38,Alabama,Lawrence,3568.6693490839357
944,Missouri,Grundy,280908.5741036928
1266,Ohio,Lawrence,45325.6815205495
401,Georgia,Rockdale,53413.25361567369
49,Alabama,Montgomery,67799.65408698842
215,Colorado,Washington,218547.5053298967
1691,Texas,Mills,2929.079565729154
1451,Tennessee,Davidson,54140.7426684536
1846,Virginia,Fairfax,3142.322950465463
1876,Virginia,Mecklenburg,82670.65643422329
477,Idaho,Shoshone,338509.46844312095
1013,Missouri,Wright,19008.482240490084
1323,Oklahoma,Cimarron,2968.742031322694
1150,North Carolina,Dare,18597.05904283351
1074,Nebraska,Merrick,52153.668101554504
830,Mississippi,Benton,8126.4683639918085
548,Illinois,Perry,24082.836216354386
521,Illinois,Kane,31246.99774330493
430,Georgia,Wayne,9556.667446848136
914,Missouri,Bollinger,88442.23509720707
524,Illinois,Knox,53244.060060070406
1049,Nebraska,Garfield,139177.6319896935
1097,Nebraska,Stanton,10066.155503356938
764,Michigan,Crawford,5687.907558386929
1611,Texas,Gillespie,50055.97459864841
921,Missouri,Cape Girardeau,11021.094986797232
68,Arizona,Gila,127874.46616152172
173,Colorado,Eagle,936988.7478691295
402,Georgia,Schley,18817.24776546154
1362,Oklahoma,Nowata,26245.125116658117
1870,Virginia,Lee,569020.2443435577
1861,Virginia,Henrico,44021.22254466475
233,Florida,Flagler,10073.728002946762
1058,Nebraska,Holt,50398.983245077674
188,Colorado,La Plata,17940.539738590833
649,Iowa,Palo Alto,5426.470191408579
1669,Texas,Leon,12325.333956470717
19,Alabama,Covington,13127.767936589347
814,Michigan,Ottawa,12908.754597965457
700,Louisiana,Lafayette,6040.496367918686
1084,Nebraska,Platte,75327.68514064366
1656,Texas,Kenedy,601054.8024012832
519,Illinois,Jersey,93444.2629049354
1478,Tennessee,Knox,22306.99742707081
724,Louisiana,West Carroll,292424.99872582575
1851,Virginia,Frederick,13279.066878592585
1587,Texas,Denton,113667.27239440924
428,Georgia,Warren,32982.933330988366
1257,Ohio,Henry,102897.50799701917
604,Iowa,Delaware,74887.2287237478
1053,Nebraska,Hall,83061.97745506847
1746,Texas,Terrell,17397.29218049364
876,Mississippi,Oktibbeha,44021.109647310535
1710,Texas,Pecos,2835.6974765031605
71,Arizona,La Paz,476053.4483891173
271,Florida,Sarasota,196821.2078246305
1356,Oklahoma,McClain,15994.182950227698
231,Florida,Duval,82212.28445266468
289,Georgia,Ben Hill,327408.19616113434
1413,South Carolina,Jasper,753169.6558064063
628,Iowa,Johnson,7120.150832127738
426,Georgia,Walton,37718.68600749963
518,Illinois,Jefferson,120884.13791502002
1787,Utah,Garfield,18757.75115244724
429,Georgia,Washington,28082.45522165679
314,Georgia,Coffee,49252.225459138004
1468,Tennessee,Hawkins,49520.53149745261
816,Michigan,Roscommon,39456.67398598841
1819,Virginia,Albemarle,65177.183859160534
1471,Tennessee,Henry,188546.03272907855
720,Louisiana,Vernon,4160.83395716504
121,Arkansas,Logan,160295.4446931033
1093,Nebraska,Seward,50576.10589571934
869,Mississippi,Marion,28484.260307726803
216,Colorado,Weld,10752.444642036913
246,Florida,Indian River,39817.4851572694
419,Georgia,Treutlen,13186.794144493331
769,Michigan,Genesee,11159.265949068506
1375,Oklahoma,Rogers,13001.321373693034
679,Louisiana,Avoyelles,9653.780188883567
782,Michigan,Jackson,31468.03740290832
866,Mississippi,Lincoln,22032.89339288181
748,Michigan,Alpena,291534.0766433679
1557,Texas,Cameron,23959.25944285706
1493,Tennessee,Monroe,8369.44730611159
908,Missouri,Atchison,199368.00311668374
1776,Texas,Young,15046.366019146877
758,Michigan,Cass,25132.039759353924
227,Florida,Clay,34737.95992414501
371,Georgia,Lowndes,89630.18019787675
1645,Texas,Jackson,27758.345820281495
730,Maine,Knox,13901.543561420078
190,Colorado,Las Animas,11531.38094215949
559,Illinois,Schuyler,2176136.117724296
1762,Texas,Ward,11209.305500317629
118,Arkansas,Lee,6056.973688319701
1116,Nevada,Lincoln,46491.300874496716
1439,Tennessee,Campbell,8447.498646741104
1011,Missouri,Webster,172785.2699926218
805,Michigan,Muskegon,262962.7144950801
510,Illinois,Hamilton,41675.2077605936
614,Iowa,Grundy,26031.632727522843
1880,Virginia,New Kent,613137.3533264415
72,Arizona,Maricopa,58886.0461144324
1042,Nebraska,Dundy,22663.490989479385
31,Alabama,Hale,32094.98959385647
1342,Oklahoma,Hughes,4866.134567404224
940,Missouri,Franklin,3971.6671896275448
299,Georgia,Calhoun,55019.50278196415
1890,Virginia,Powhatan,197501.01222355338
1453,Tennessee,Dickson,91014.26941110127
55,Alabama,Russell,140915.5217690587
1110,Nevada,Douglas,2864.622906055635
218,Florida,Alachua,18317.803822250808
587,Iowa,Buena Vista,514190.7961852908
884,Mississippi,Rankin,90060.5839121806
1368,Oklahoma,Pawnee,22913.35891206203
107,Arkansas,Greene,25695.990386466845
1386,Oklahoma,Woodward,49217.50841589566
915,Missouri,Boone,53426.21994122772
361,Georgia,Jenkins,77925.92549898173
1008,Missouri,Warren,16537.67109780713
535,Illinois,Mason,58865.95437231872
1429,South Carolina,Sumter,4732.552206292837
576,Illinois,Woodford,18263.459705569338
1804,Utah,Wasatch,16188.384424881864
88,Arkansas,Chicot,96619.85508258642
1731,Texas,Schleicher,6323.910817710309
1816,Vermont,Washington,42149.77259683641
1331,Oklahoma,Delaware,4588.548842705456
1767,Texas,Wichita,29597.82516379557
169,Colorado,Delta,33073.706618500815
888,Mississippi,Smith,299970.24814211996
1137,North Carolina,Caldwell,5348.447322119333
1305,Ohio,Warren,620665.305358342
871,Mississippi,Monroe,78928.99312826197
954,Missouri,Jefferson,93243.40669171137
1737,Texas,Somervell,10394.553136623425
1921,New Hampshire,Coos,19127.13116744251
1677,Texas,Lynn,26744.21285192474
248,Florida,Jefferson,20173.900892046375
35,Alabama,Jefferson,41099.54435029102
1129,North Carolina,Avery,21666.315542062555
250,Florida,Lake,4243.304698408183
1046,Nebraska,Furnas,297103.0137077044
1744,Texas,Tarrant,39589.90052208398
409,Georgia,Talbot,119204.95507302239
386,Georgia,Newton,5313.852719875162
1461,Tennessee,Greene,840890.0200535824
2,Alabama,Barbour,8071.592184119795
1872,Virginia,Louisa,5533.830393968418
662,Iowa,Taylor,23718.054644920066
1354,Oklahoma,Marshall,19124.30719820603
158,Colorado,Baca,40773.18508318673
856,Mississippi,Jefferson,73433.45368378295
612,Iowa,Fremont,2630.5324955576207
441,Idaho,Bannock,9610.979294395864
395,Georgia,Pulaski,43158.24503847846
966,Missouri,Maries,49383.40267963292
478,Idaho,Teton,43620.87938431279
1404,South Carolina,Dorchester,34821.48323251593
183,Colorado,Jackson,49747.17853479224
660,Iowa,Story,11928.320269238799
760,Michigan,Cheboygan,986276.4967674754
1125,North Carolina,Alexander,28902.81959213221
1415,South Carolina,Lancaster,53975.617055157854
1500,Tennessee,Pickett,107057.86607412591
1910,Virginia,Tazewell,151899.20825514768
1509,Tennessee,Sevier,21937.177661596837
1228,Ohio,Auglaize,7958.766165849366
307,Georgia,Chattooga,6039.331289845961
1166,North Carolina,Haywood,6952.34969859028
575,Illinois,Winnebago,19853.32323832589
454,Idaho,Cassia,18277.290083672284
1514,Tennessee,Sumner,31605.88087381475
599,Iowa,Clinton,73808.8554853009
243,Florida,Highlands,148733.27652596243
753,Michigan,Bay,816455.1715434002
1766,Texas,Wheeler,111758.45815585612
1175,North Carolina,Lee,3495737.9646797623
1518,Tennessee,Union,10365.293616195688
1467,Tennessee,Hardin,73967.92971990327
1283,Ohio,Noble,8952.661971927226
1081,Nebraska,Perkins,310122.17987041903
1844,Virginia,Dinwiddie,43478.33116309747
1798,Utah,Sanpete,36416.15398138344
1556,Texas,Callahan,293841.18907094497
1225,Ohio,Ashland,98819.43986146087
1537,Texas,Bastrop,8454.845638710942
206,Colorado,Rio Blanco,89967.03808890587
786,Michigan,Keweenaw,237562.89329967008
812,Michigan,Oscoda,12308.115882485074
1068,Nebraska,Lancaster,7673.429653864939
337,Georgia,Forsyth,38732.68594265301
1680,Texas,Martin,119911.98024418612
775,Michigan,Houghton,24261.92679512276
77,Arizona,Santa Cruz,44336.74059506447
447,Idaho,Bonner,18701.720409772824
906,Missouri,Adair,7162.320281848505
