,0,1,2
382,Idaho,Boise,35179.90833637882
1516,Texas,Cherokee,9119.029973188224
1431,Tennessee,Knox,31458.349711846367
1836,Virginia,Northampton,20108.9831237451
1352,South Carolina,Chesterfield,43925.06623269218
157,Florida,Bradford,19278.456534701694
595,Iowa,Sioux,42504.36824720319
1717,Texas,Webb,26061.28066572816
1222,Ohio,Lorain,38463.76191666792
1238,Ohio,Paulding,22102.336461768602
230,Georgia,Brooks,43131.646481897755
1470,Tennessee,Unicoi,168754.702152752
36,Alabama,Lamar,32982.12533512902
832,Michigan,Keweenaw,16897.64405963299
1009,Missouri,Livingston,78278.19686264113
896,Mississippi,Holmes,13773.616036174148
1445,Tennessee,Meigs,5826.129985708239
959,Missouri,Benton,8793.163224760352
988,Missouri,Gentry,53222.511713426225
1602,Texas,Jim Hogg,57264.1984126761
1528,Texas,Cooke,7469.473002177604
268,Georgia,Emanuel,19908.97441266002
10,Alabama,Chilton,13737.003111569644
67,Arizona,Coconino,50463.09521473609
1185,Ohio,Carroll,384226.01387808356
1580,Texas,Harrison,176521.41081277916
1656,Texas,Ochiltree,40134.4467791452
1170,North Carolina,Watauga,24208.622410930708
1550,Texas,El Paso,144279.2645327493
1165,North Carolina,Union,22101.64108061072
454,Illinois,Jefferson,15010.890934699984
1136,North Carolina,Mitchell,39969.501800612954
215,Florida,Walton,106078.97568526746
292,Georgia,Irwin,8423.12393266965
1791,Virginia,Chesterfield,48780.26112359902
164,Florida,Collier,78558.51329631945
9,Alabama,Cherokee,32508.036867957817
1675,Texas,Robertson,25310.0568475847
761,Louisiana,Morehouse,10289.110596136006
859,Michigan,Otsego,18164.57450463676
1491,Texas,Baylor,421348.822028939
1646,Texas,Montague,393560.8717897061
1826,Virginia,Lunenburg,76979.63625308532
252,Georgia,Columbia,40545.93307456605
578,Iowa,Mitchell,15841.473343830356
1048,Missouri,Stoddard,796749.594477628
1070,Nevada,Lyon,11267.290614570431
1289,Oklahoma,Grady,5828.398337303403
1311,Oklahoma,McIntosh,14239.323166537502
112,Arkansas,Izard,13155.540564981251
888,Mississippi,Forrest,177480.7010574543
1857,Virginia,Southampton,21989.68782741062
492,Illinois,Rock Island,63342.615645232116
1841,Virginia,Patrick,154104.29017675773
509,Illinois,Will,7936.663313488004
1866,Virginia,Washington,11077.216951675626
190,Florida,Liberty,6663.752739753688
924,Mississippi,Pearl River,15343.238342959028
1335,Oklahoma,Wagoner,8634.011754775362
1782,Virginia,Botetourt,1512116.5152173198
1319,Oklahoma,Osage,10354.60728970224
1381,South Carolina,Spartanburg,14152.935161758827
516,Iowa,Appanoose,64525.84642872562
1187,Ohio,Clark,87034.83654681107
84,Arkansas,Boone,26584.346463680307
1558,Texas,Fort Bend,33187.988284243664
1193,Ohio,Cuyahoga,5735.50913134496
77,Arizona,Santa Cruz,57095.66506360045
1143,North Carolina,Orange,5167.834530022111
1847,Virginia,Pulaski,29268.317108745596
1743,Utah,Juab,92353.14102442133
448,Illinois,Hardin,270433.28335289925
505,Illinois,Washington,14211.947546291502
1546,Texas,Eastland,36101.924970144304
234,Georgia,Butts,1196654.687868807
1053,Missouri,Vernon,36447.957630894605
1195,Ohio,Defiance,14103.558554768804
110,Arkansas,Howard,8287.358475129726
1328,Oklahoma,Rogers,27367.270980783247
604,Iowa,Wayne,53739.65686867841
233,Georgia,Burke,12606.18847490299
1,Alabama,Baldwin,59113.09252743111
657,Kentucky,Hardin,73856.94886071085
1496,Texas,Borden,6236066.04174291
688,Kentucky,Mason,142146.12654149957
1049,Missouri,Stone,27922.54186262555
237,Georgia,Candler,13653.88393207315
324,Georgia,Oglethorpe,10291.55917617215
1613,Texas,King,13637.764450056853
1439,Tennessee,Madison,27459.83168835517
153,Arkansas,Yell,14409.215887649736
1742,Utah,Iron,111318.84409859535
288,Georgia,Hart,96971.3999835239
1202,Ohio,Gallia,11238.94946796103
50,Alabama,Morgan,181613.81136423687
908,Mississippi,Lawrence,113112.51428132714
166,Florida,Dixie,45762.303534743485
442,Illinois,Fulton,13184.580299768126
1764,Vermont,Essex,50957.0601570976
754,Louisiana,Jackson,61537.51783393942
945,Mississippi,Washington,11504.536917123025
1280,Oklahoma,Cotton,63945.96100422097
424,Illinois,Calhoun,6933.326627350972
1309,Oklahoma,McClain,26760.725335241386
1781,Virginia,Bland,31771.031032785348
1860,Virginia,Suffolk,7274.395388680284
781,Louisiana,West Feliciana,12176.675141429732
1120,North Carolina,Henderson,33206.08073275182
85,Arkansas,Bradley,25287.474138954283
328,Georgia,Pierce,12286.013692662715
1073,Nevada,Pershing,49390.643893165296
1089,North Carolina,Cabarrus,64690.139105753085
1620,Texas,La Salle,14247.288672105957
1091,North Carolina,Camden,156846.4026084437
1047,Missouri,Shelby,4538697.140132845
168,Florida,Escambia,113910.3021017792
560,Iowa,Iowa,24296.818071579935
1612,Texas,Kimble,106305.81076143746
1727,Texas,Wood,14821.500051478395
1033,Missouri,Platte,87205.77049906082
1306,Oklahoma,Major,897255.006235086
322,Georgia,Newton,9767.227420231357
198,Florida,Okeechobee,36998.6853798286
873,Mississippi,Alcorn,386937.1601286871
1692,Texas,Stephens,1404943.636476268
1750,Utah,San Juan,92269.91656601327
1138,North Carolina,Moore,17735.43593422248
1552,Texas,Falls,18954.553640053215
716,Kentucky,Shelby,46727.32590942997
80,Arkansas,Arkansas,16820.629000178524
546,Iowa,Floyd,97959.05865623384
