,0,1,2
384,Georgia,Murray,51366.871992478635
1923,New Hampshire,Hillsborough,8733.235590853486
754,Michigan,Benzie,212284.94909854463
54,Alabama,Randolph,30391.140095201503
1050,Nebraska,Gosper,8823.834362268542
975,Missouri,Morgan,6737.808728637724
798,Michigan,Mecosta,26507.609767426526
1741,Texas,Stonewall,15846.443913830963
337,Georgia,Forsyth,166218.49348754197
588,Iowa,Butler,23941.206398812115
1051,Nebraska,Grant,8051.386274969978
639,Iowa,Marion,6376.152547449524
693,Louisiana,Evangeline,2921.1661100576393
893,Mississippi,Tippah,704950.5401892695
1330,Oklahoma,Custer,10694.691441578376
1121,Nevada,Storey,42028.58373917651
144,Arkansas,Sebastian,8324.349535122072
1600,Texas,Fannin,400051.96624824463
581,Iowa,Audubon,-462.3962015153707
630,Iowa,Keokuk,9099.115333026912
1412,South Carolina,Horry,-1420.1584366944342
1626,Texas,Harris,42861.76554186331
661,Iowa,Tama,159454.67461764818
1053,Nebraska,Hall,122782.66337835799
461,Idaho,Gem,24114.918740852012
1358,Oklahoma,McIntosh,180561.90460823767
332,Georgia,Emanuel,145725.9006992298
1810,Vermont,Chittenden,2817047.5242497995
1573,Texas,Comanche,177684.00724596795
1576,Texas,Coryell,29005.173744619387
947,Missouri,Hickory,9270.31576728246
172,Colorado,Douglas,39841.87068006337
791,Michigan,Livingston,107038.39083873683
1645,Texas,Jackson,3345.7850961433933
1575,Texas,Cooke,3400.38949441134
167,Colorado,Crowley,38355.18942161192
1107,Nevada,Carson City,16494.08443483883
284,Georgia,Baker,28542.249240779158
1671,Texas,Limestone,238686.280120067
386,Georgia,Newton,95102.39032047571
1326,Oklahoma,Comanche,251157.59734750752
184,Colorado,Jefferson,103834.13132824493
1473,Tennessee,Houston,21773.777609661258
1852,Virginia,Giles,6118.828276445848
911,Missouri,Barton,1905153.6573769858
282,Georgia,Atkinson,23607.296565491728
1634,Texas,Hill,-344.6907359158176
807,Michigan,Oakland,183099.31933305255
522,Illinois,Kankakee,994747.1110626517
579,Iowa,Allamakee,6527.1363544780725
1262,Ohio,Jackson,79227.30214536165
1517,Tennessee,Unicoi,8788.895850360288
1407,South Carolina,Florence,3669.5282707073093
1207,North Carolina,Stokes,297721.8411764708
1335,Oklahoma,Garvin,31450.43232655956
1450,Tennessee,Cumberland,120097.4385512047
1239,Ohio,Crawford,5804.350713359396
1463,Tennessee,Hamblen,25405.307775308112
1284,Ohio,Ottawa,19517.991700946215
523,Illinois,Kendall,22369.057503513184
827,Mississippi,Alcorn,81194.95495604529
137,Arkansas,Pope,18788.32516779508
742,Massachusetts,Norfolk,74571.29217683343
278,Florida,Wakulla,44481.04295258545
394,Georgia,Polk,51070.73278301883
1667,Texas,La Salle,5781.935409949571
1488,Tennessee,Marshall,24013.17945086837
1597,Texas,El Paso,119314.90109152721
842,Mississippi,Forrest,70131.61137644973
631,Iowa,Kossuth,298164.3452960727
458,Idaho,Elmore,23793.696840434917
1201,North Carolina,Rockingham,23907.12541352467
1662,Texas,Kleberg,67565.2706778018
1036,Nebraska,Dawes,76116.41777669206
1739,Texas,Stephens,-477.69801994828526
483,Illinois,Alexander,6439.482847361281
210,Colorado,San Juan,71281.71642732929
1350,Oklahoma,Lincoln,24069.701006924683
1147,North Carolina,Columbus,80637.86975466786
1548,Texas,Brewster,92138.3252115559
802,Michigan,Monroe,7746622.404864856
1469,Tennessee,Haywood,12562.95021065375
844,Mississippi,George,65692.00023510848
1922,New Hampshire,Grafton,68838.1256361128
1839,Virginia,Clarke,20988.521550734036
1549,Texas,Briscoe,19251.392346236036
1883,Virginia,Northampton,73989.09871441392
514,Illinois,Henry,12220.119434861337
677,Louisiana,Ascension,59638.11329029937
1618,Texas,Grimes,7336.020946910145
1224,Ohio,Allen,19815.786241937203
1919,New Hampshire,Carroll,12202.28124713345
56,Alabama,Shelby,87440.44072959853
202,Colorado,Phillips,3537.584795023314
475,Idaho,Payette,47921.730001736214
1924,New Hampshire,Merrimack,7827.575970268357
281,Georgia,Appling,46063.53558316238
757,Michigan,Calhoun,129235.69128461587
1776,Texas,Young,79358.35781084809
652,Iowa,Polk,460339.3042531359
1743,Texas,Swisher,1603523.445779859
131,Arkansas,Ouachita,6416.788850029092
927,Missouri,Christian,24254.21836263758
187,Colorado,Lake,16058.692587318956
779,Michigan,Iosco,37697.39897546824
1303,Ohio,Van Wert,2758.919087927421
351,Georgia,Harris,22457.60543062491
1257,Ohio,Henry,33400.083353543494
1550,Texas,Brooks,7945.036099563709
595,Iowa,Chickasaw,242086.5212202405
247,Florida,Jackson,12111.38644260736
1428,South Carolina,Spartanburg,23559.727131533575
1088,Nebraska,Rock,4022.0203707517235
853,Mississippi,Itawamba,47852.21562273449
1655,Texas,Kendall,12219.907199834073
345,Georgia,Greene,13972.44612866506
309,Georgia,Clarke,2315.7442504859614
1293,Ohio,Ross,22950.34805962677
1592,Texas,Duval,58129.16904265265
559,Illinois,Schuyler,176174.5967236391
896,Mississippi,Union,355276.37119549664
264,Florida,Osceola,76826.83607738881
609,Iowa,Fayette,33505.45311111653
1386,Oklahoma,Woodward,4584.228119114251
1154,North Carolina,Durham,29298.392406298026
408,Georgia,Sumter,108518.55943921591
1261,Ohio,Huron,1726.1850792955865
1465,Tennessee,Hancock,19525.000060901955
1046,Nebraska,Furnas,10119.529883398805
1721,Texas,Roberts,16398.846902327452
1310,Ohio,Wyandot,12987.29748868627
498,Illinois,Cumberland,15085.594669196387
198,Colorado,Morgan,188643.01564214868
252,Florida,Leon,835.8568022501253
603,Iowa,Decatur,55608.23659616318
223,Florida,Broward,45584.96875772854
218,Florida,Alachua,8424.142627792486
133,Arkansas,Phillips,321456.0525940118
1726,Texas,Sabine,8388.93116984146
994,Missouri,Reynolds,52548.79778196996
858,Mississippi,Kemper,35900.311898949985
1552,Texas,Burleson,87968.98768186966
8,Alabama,Chambers,345699.8326033797
1867,Virginia,King George,156457.9818199259
787,Michigan,Lake,168703.12167848414
435,Georgia,Wilcox,43090.57210971842
1190,North Carolina,Orange,19316.972550135528
1419,South Carolina,Marion,4847.115107854512
424,Georgia,Upson,13151.93284624807
662,Iowa,Taylor,744633.7937986082
1170,North Carolina,Hyde,101790.74514304659
1566,Texas,Cochran,171217.77911618684
912,Missouri,Bates,41709.127639947874
886,Mississippi,Sharkey,5969.147346771655
134,Arkansas,Pike,2890.949961381515
547,Illinois,Peoria,52206.852366249856
18,Alabama,Coosa,1299.0860519773742
1855,Virginia,Grayson,75534.93474478465
521,Illinois,Kane,11622.136868236588
1728,Texas,San Jacinto,20045.131500533505
40,Alabama,Limestone,144371.9730263223
1718,Texas,Red River,-462.0801427987502
882,Mississippi,Prentiss,1405689.4979787727
635,Iowa,Lucas,13832.12853311902
277,Florida,Volusia,8416.25844279781
