,0,1,2
650,Kentucky,Garrard,24160.467127111922
1010,Missouri,Macon,15168.619630709954
454,Illinois,Jefferson,52842.94125590553
1164,North Carolina,Tyrrell,20830.24858774587
1833,Virginia,New Kent,70997.7580970329
1003,Missouri,LaClede,367009.7294702192
1609,Texas,Kenedy,24892.72788436034
1843,Virginia,Powhatan,7619.938827512974
85,Arkansas,Bradley,121908.71708230386
787,Massachusetts,Nantucket,9046.017464924389
412,Idaho,Power,13254.046239333538
535,Iowa,Clinton,27106.92587248963
387,Idaho,Camas,10600.714592050237
245,Georgia,Clarke,64036.69428586386
524,Iowa,Butler,2271639.8706921577
845,Michigan,Menominee,24463.33007532172
975,Missouri,Clay,41572.703819488604
929,Mississippi,Quitman,14113.906657116377
1028,Missouri,Pemiscot,33055.16357573846
1253,Ohio,Trumbull,103613.45316908651
552,Iowa,Hamilton,166260.5304168572
193,Florida,Marion,2750.6779153270368
1853,Virginia,Russell,80856.12749202468
1689,Texas,Smith,8694.158958395768
576,Iowa,Marshall,49923.26326001462
1787,Virginia,Caroline,699909.8598389641
1030,Missouri,Pettis,41596.88421150807
70,Arizona,Greenlee,61944.30692995959
1872,New Hampshire,Carroll,12669.726445647382
1626,Texas,Live Oak,90197.90931768269
1741,Utah,Grand,369315.6925009418
1065,Nevada,Esmeralda,21814.052539991295
244,Georgia,Cherokee,50494.89353942255
239,Georgia,Catoosa,6349.146944291228
66,Arizona,Cochise,77117.41522856183
742,Louisiana,Cameron,80647.96976365184
541,Iowa,Des Moines,14750.891595027351
704,Kentucky,Owen,13356.876801559038
925,Mississippi,Perry,523409.26156363304
1388,Tennessee,Benton,26641.7452587591
219,Georgia,Bacon,27469.087365252282
27,Alabama,Fayette,6239.5312538664375
1346,South Carolina,Beaufort,611355.8739638666
54,Alabama,Randolph,66618.59130165826
1781,Virginia,Bland,64357.722056238315
444,Illinois,Greene,11409.269109151684
577,Iowa,Mills,5774.157056914129
520,Iowa,Boone,286310.33189601754
1093,North Carolina,Caswell,97242.65093023538
527,Iowa,Cass,7404.5784531095205
980,Missouri,Dade,58006.713120338216
1751,Utah,Sanpete,8749.972343376603
870,Michigan,Wayne,20855.97554886601
1119,North Carolina,Haywood,63457.78544042758
1441,Tennessee,Marshall,86420.9215914807
1860,Virginia,Suffolk,8647.787752941264
1769,Vermont,Washington,6701.462456893427
45,Alabama,Marion,14391.148008791792
1168,North Carolina,Warren,152028.70342280896
118,Arkansas,Lee,6450.048924055748
1299,Oklahoma,Kay,25247.773769930616
1104,North Carolina,Davidson,282457.918951056
128,Arkansas,Montgomery,117713.45315615043
838,Michigan,Luce,28866.440718204933
1650,Texas,Motley,13060.04297502713
1538,Texas,Deaf Smith,110755.3510229328
1249,Ohio,Seneca,15679.166032074922
579,Iowa,Monona,14356.799818400548
343,Georgia,Stewart,14102.288990224219
451,Illinois,Iroquois,12103.452576378224
996,Missouri,Howell,9548.786392913857
98,Arkansas,Cross,60725.152504340535
1408,Tennessee,Fayette,75978.58680813637
478,Illinois,Monroe,46004.62671921924
213,Florida,Volusia,82668.54132955188
1347,South Carolina,Berkeley,71517.87385364818
1352,South Carolina,Chesterfield,7024.790718122873
21,Alabama,Cullman,357728.44943158975
435,Illinois,Douglas,68646.12955258857
1153,North Carolina,Robeson,10404.761925794042
1035,Missouri,Pulaski,10402.68186785078
207,Florida,Sarasota,9163.032691974577
1821,Virginia,King William,15259.50855265718
161,Florida,Charlotte,6471.141256137644
1557,Texas,Foard,141460.58259659022
1607,Texas,Kaufman,172284.31133512923
1278,Oklahoma,Coal,66442.5445590627
1392,Tennessee,Campbell,352088.30751743563
917,Mississippi,Monroe,60672.46442401812
268,Georgia,Emanuel,2371923.916408531
474,Illinois,McHenry,27807.42183813876
1604,Texas,Johnson,162991.77558929622
315,Georgia,Miller,15544.300577959464
1854,Virginia,Scott,72024.41458832077
1329,Oklahoma,Seminole,293225.5376566649
1680,Texas,San Augustine,79162.690022664
1326,Oklahoma,Pushmataha,22158.26918568059
502,Illinois,Vermilion,19432.103181274982
1186,Ohio,Champaign,16292.741211973129
1350,South Carolina,Cherokee,21984.01355582566
1416,Tennessee,Hamblen,28365.905728169444
781,Louisiana,West Feliciana,8602.338516586135
761,Louisiana,Morehouse,6102.416515076672
969,Missouri,Carter,67810.94043908989
62,Alabama,Washington,5910.507254316616
1531,Texas,Crane,20626.19532441285
1207,Ohio,Hancock,5396.247364827363
717,Kentucky,Simpson,7542.067565123803
1645,Texas,Mitchell,16916.862177669816
1107,North Carolina,Durham,61206.5990532656
826,Michigan,Iron,9897.508729133053
1613,Texas,King,18086.27083730278
703,Kentucky,Oldham,4701.645704258994
765,Louisiana,Plaquemines,98233.18447945727
1733,Utah,Box Elder,6306.586138939471
1459,Tennessee,Rutherford,8310.819792757564
1746,Utah,Morgan,65842.26116218728
1729,Texas,Young,198773.5088569574
1050,Missouri,Sullivan,92694.40377709336
936,Mississippi,Sunflower,261637.07535227982
438,Illinois,Effingham,26721.992047214324
1409,Tennessee,Fentress,10646.519742525032
1358,South Carolina,Edgefield,560864.0113671256
259,Georgia,Decatur,12999.6175266093
1311,Oklahoma,McIntosh,10381.798070244426
1670,Texas,Real,315476.5559014105
1528,Texas,Cooke,14922.215869871277
698,Kentucky,Morgan,132245.0422802869
1859,Virginia,Stafford,46560.88086454063
458,Illinois,Kankakee,16946.13184943666
407,Idaho,Minidoka,35328.87344683333
540,Iowa,Delaware,23915.675611704086
1601,Texas,Jefferson,403112.42696263734
528,Iowa,Cedar,61358.08138180693
1296,Oklahoma,Jackson,218425.64130891298
1706,Texas,Tyler,23761.331707659272
1320,Oklahoma,Ottawa,56412.12377833231
1442,Tennessee,Maury,100444.62103751728
97,Arkansas,Crittenden,131104.25432044882
1516,Texas,Cherokee,8658.114310071614
1705,Texas,Trinity,724952.7171225525
847,Michigan,Missaukee,211877.91373027876
1562,Texas,Gaines,4944.45766166593
878,Mississippi,Calhoun,356171.05075637385
895,Mississippi,Hinds,53559.31342491845
665,Kentucky,Jackson,226689.29320754853
9,Alabama,Cherokee,38500.96820573269
621,Kentucky,Boyle,8749.783375806945
1578,Texas,Hardin,19938.915770315256
729,Kentucky,Wolfe,25449.8682661954
1799,Virginia,Fairfax,8583.289137468415
976,Missouri,Clinton,40799.67171269676
361,Georgia,Walker,35186.22684447575
1599,Texas,Jasper,123538.73395042599
902,Mississippi,Jefferson,4034.6439643612744
597,Iowa,Tama,657897.8177764821
377,Idaho,Bannock,1516402.5121471372
1282,Oklahoma,Creek,79509.37906472305
1568,Texas,Gray,161498.29035843728
997,Missouri,Iron,5681.276826495055
1555,Texas,Fisher,225975.4328198098
1819,Virginia,King and Queen,95849.62999980905
872,Mississippi,Adams,52273.63626304648
1032,Missouri,Pike,47425.10120319874
582,Iowa,Muscatine,78140.43381458838
1433,Tennessee,Lauderdale,16442.639279731644
312,Georgia,McDuffie,216308.32515800567
571,Iowa,Lucas,135093.3825599308
141,Arkansas,Saline,9720.671545894966
1403,Tennessee,Cumberland,169357.8514727346
471,Illinois,Mason,13178.799721773414
822,Michigan,Huron,5127860.836149039
549,Iowa,Greene,4920.507716393955
743,Louisiana,Catahoula,123191.17344583724
1535,Texas,Dallam,13798.60655750524
642,Kentucky,Elliott,23960.11358442326
672,Kentucky,LaRue,13980.848604703973
1267,Oklahoma,Beaver,100163.94859293872
1273,Oklahoma,Carter,52176.3654635058
880,Mississippi,Chickasaw,22176.109406708496
1766,Vermont,Grand Isle,40239.12616999095
1569,Texas,Grayson,29633.495260854525
779,Louisiana,West Baton Rouge,42960.75615081045
655,Kentucky,Greenup,70583.23726961298
1298,Oklahoma,Johnston,4350.135852481133
1849,Virginia,Richmond,22161.747811853333
95,Arkansas,Craighead,14570.453603476575
1197,Ohio,Erie,38774.17900890247
1507,Texas,Caldwell,162216.63514295316
1389,Tennessee,Bledsoe,14084.702245609904
138,Arkansas,Prairie,92448.96899275163
1310,Oklahoma,McCurtain,84702.44879977281
288,Georgia,Hart,56910.22153337859
711,Kentucky,Robertson,53893.937188375654
356,Georgia,Troup,28985.893778088164
1672,Texas,Reeves,135373.69618348236
833,Michigan,Lake,1910187.748226166
137,Arkansas,Pope,65913.96277362312
1141,North Carolina,Northampton,6189.497016597368
958,Missouri,Bates,8025.203861702002
884,Mississippi,Clay,9048.224654991147
1174,North Carolina,Yadkin,5724.7745799386685
327,Georgia,Pickens,58264.10837545677
1616,Texas,Knox,47486.11300816985
1831,Virginia,Montgomery,24116.801253991584
547,Iowa,Franklin,120634.86683041096
1195,Ohio,Defiance,35638.82152301394
1405,Tennessee,Decatur,60611.80106775013
910,Mississippi,Lee,8440.0337394363
1391,Tennessee,Bradley,14162.297357796908
86,Arkansas,Calhoun,5337.408868476972
1816,Virginia,Highland,7273.114181017449
1434,Tennessee,Lawrence,16660.367884179923
868,Michigan,Van Buren,42058.3669293977
1413,Tennessee,Grainger,4987.366284532327
139,Arkansas,Pulaski,51925.48429451346
947,Mississippi,Webster,193166.2667147912
1455,Tennessee,Putnam,1133230.1395369952
1641,Texas,Menard,5835.690399415802
855,Michigan,Ogemaw,271446.27578813594
1662,Texas,Parmer,79770.43268301585
1017,Missouri,Mississippi,59154.49017598915
212,Florida,Union,26782.96248347387
430,Illinois,Clay,6244605.480586742
951,Mississippi,Yazoo,13512.350590104537
1398,Tennessee,Claiborne,48131.754015076825
